ID_P,Squadra_C,Squadra_T,Giocatore_C_1,Giocatore_C_2,Giocatore_C_3,Giocatore_C_4,Giocatore_C_5,Giocatore_C_6,Giocatore_C_7,Giocatore_C_8,Giocatore_C_9,Giocatore_C_10,Giocatore_C_11,Giocatore_T_1,Giocatore_T_2,Giocatore_T_3,Giocatore_T_4,Giocatore_T_5,Giocatore_T_6,Giocatore_T_7,Giocatore_T_8,Giocatore_T_9,Giocatore_T_10,Giocatore_T_11,Giocatore_C_X1,Giocatore_C_X2,Giocatore_C_X3,Giocatore_C_X4,Giocatore_C_X5,Giocatore_C_X6,Giocatore_C_X7,Giocatore_C_X8,Giocatore_C_X9,Giocatore_C_X10,Giocatore_C_X11,Giocatore_T_X1,Giocatore_T_X2,Giocatore_T_X3,Giocatore_T_X4,Giocatore_T_X5,Giocatore_T_X6,Giocatore_T_X7,Giocatore_T_X8,Giocatore_T_X9,Giocatore_T_X10,Giocatore_T_X11,Giocatore_C_Y1,Giocatore_C_Y2,Giocatore_C_Y3,Giocatore_C_Y4,Giocatore_C_Y5,Giocatore_C_Y6,Giocatore_C_Y7,Giocatore_C_Y8,Giocatore_C_Y9,Giocatore_C_Y10,Giocatore_C_Y11,Giocatore_T_Y1,Giocatore_T_Y2,Giocatore_T_Y3,Giocatore_T_Y4,Giocatore_T_Y5,Giocatore_T_Y6,Giocatore_T_Y7,Giocatore_T_Y8,Giocatore_T_Y9,Giocatore_T_Y10,Giocatore_T_Y11
1983325,8674,10229,192358,220093,157305,200105,202153,207559,168584,199386,204136,210423,190497,223690,204504,202201,193157,230037,200424,190549,209529,210384,210010,224243,5,2,4,6,8,4,6,3,5,7,5,5,2,4,6,8,4,6,5,7,3,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11
1983326,10228,8277,183567,204449,204627,226853,215650,204332,172141,205926,202200,\N,209782,189084,224841,192904,137510,193561,211504,217526,222994,229167,225539,200644,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983327,9908,7788,189936,219814,198147,223070,209839,228644,158800,216289,227633,224149,183519,205572,194913,223566,200122,200499,204370,184637,218744,49486,215609,188185,5,2,4,8,6,5,4,6,5,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,7,7,9,11,11,1,3,3,3,3,7,7,7,10,10,10
1983328,8593,8674,199987,216266,208004,221269,208459,212269,203483,193198,216433,205175,205966,192358,200105,202540,157305,203845,168584,202459,207559,199386,190497,210423,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983329,10229,9791,138351,189300,202201,193157,230037,200424,210010,190549,209529,226537,224243,109493,215592,200425,136839,139871,202050,209701,220118,223115,205557,223689,5,2,4,6,8,7,3,5,3,5,7,5,2,4,6,8,3,5,7,3,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983330,8640,8464,190778,204259,195363,173432,152065,193158,212755,137109,192362,189805,204366,206379,204847,187620,205202,211195,219979,194669,200374,202458,193169,201938,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983331,8526,8525,228860,200083,\N,200375,204878,198144,229212,229215,218054,229211,218062,199568,204138,188424,162343,204386,184242,134968,188416,162335,189713,203903,5,2,4,6,8,2,4,6,8,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10
1983332,10235,6413,169181,222558,213000,186456,203485,162329,189715,213613,15723,184614,172049,208782,209371,183736,208018,209378,221521,178319,223790,208781,220763,208153,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,6,8,8,8,11
1983333,10217,10218,184040,224213,163907,189899,188621,210205,164626,200231,148854,207739,164986,193302,184657,203875,215528,217585,156653,208602,185171,228666,223730,204840,5,2,4,6,8,3,7,5,3,5,7,5,4,6,2,8,5,7,3,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983334,8611,9803,228279,226436,200818,218047,177543,199169,208670,203796,177106,218033,218363,204367,215618,205190,178140,183933,169479,230036,229104,163244,213321,204394,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,5,4,6,5,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,7,7,9,11,11
1983335,9791,10228,109493,215592,200425,136839,223697,202050,209701,220118,210488,223689,212538,183567,204449,226853,204627,215650,204332,172141,201965,202200,\N,209782,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983336,8464,10217,206379,204847,187620,205202,211195,219979,194669,200374,202458,193169,201938,184040,224213,189899,163907,188621,210205,164626,212485,148854,207739,164986,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983337,9803,7788,204367,215618,205190,178140,183933,169479,230036,229104,163244,198726,213321,199172,194913,223566,200122,187514,218744,184637,204370,188185,215609,49486,5,2,4,6,8,5,4,6,5,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,7,7,9,11,11,1,3,3,3,3,7,7,7,10,10,10
1983338,8525,6413,199568,162343,188424,188416,204138,184242,189713,134968,162335,184433,203903,208782,209371,183736,208018,209378,203399,221521,223790,208781,220763,208153,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,6,8,8,8,11
1983339,10218,9908,136222,215528,184657,203875,217585,185171,156653,193669,228666,223730,204840,189936,219814,198147,209839,188807,228644,158800,204102,227633,205693,183519,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,5,4,6,5,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,7,7,9,11,11
1983340,8526,10235,228860,228870,\N,200375,204878,200083,229212,229215,218054,218062,229211,169181,226662,213000,186456,203485,162329,213613,189715,15723,184614,172049,5,2,4,6,8,2,4,6,8,6,4,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10
1983341,8593,8640,199987,216266,208004,221269,208459,212269,203483,193198,216433,203965,205966,190778,204259,195363,173432,209818,193158,212755,171897,229636,204366,192362,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983342,8277,8674,189084,224841,192904,137510,193561,222994,211504,205401,229167,225539,200644,192358,220093,200105,202540,202153,168584,204136,207559,199386,225114,210423,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983343,10229,8611,138351,189300,202201,193157,210384,210010,190549,224242,209529,224243,226537,228279,177543,218047,200818,226436,203796,208670,199169,177106,218033,218363,5,2,4,6,8,3,5,7,3,7,5,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983344,7788,10229,199172,194913,223566,200122,200499,231150,184637,204370,188185,215609,49486,138351,189300,202201,193157,210384,190549,200424,210010,209529,224243,226537,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,6,8,8,8,11
1983345,8674,8525,192358,220093,202540,200105,202153,207559,168584,199386,202459,210423,225114,199568,162343,188424,169158,204386,184242,134968,188416,212210,203903,189713,5,2,4,6,8,4,6,3,5,7,5,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10
1983346,9791,8593,109493,215592,200425,136839,139871,202050,209701,220118,212538,223689,223697,9833,216266,208004,221269,208459,212269,203483,193198,172143,216433,203965,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983347,9908,9803,189936,219814,198147,209839,188807,228644,158800,216289,227633,205693,183519,204367,215618,205190,178140,183933,169479,230036,229104,163244,198726,213321,5,2,4,6,8,5,4,6,5,4,6,5,2,4,6,8,5,4,6,5,4,6,1,3,3,3,3,6,7,7,9,11,11,1,3,3,3,3,6,7,7,9,11,11
